Class: ['price-one', 'is-service-pack'] | Text: 24.090.000₫ *24.990.000₫Trả chậm 0% trả trước 0đ
Class: ['box-price'] | Text: 24.090.000₫ *24.990.000₫Trả chậm 0% trả trước 0đ
Class: ['box-price-present'] | Text: 24.090.000₫ *
Class: ['box-price-old'] | Text: 24.990.000₫
Class: ['block', 'block-price1', 'service-pack'] | Text: Khuyến mãi  trị giá 100.000₫Giá và khuyến mãi dự kiến áp dụng đến 23:59 | 30/061Chọn 1 trong các khuyến mãi:Giảm ngay 700,000đ(đã giảm vào giá sản phẩm)Tặng Microsoft 365 Personal2Chọn 1 trong các khuyến mãi:Giảm 400,000Đ(đã giảm vào giá sản phẩm)Phiếu mua hàng mua Màn hình, Máy in trị giá 700,000đPhiếu mua hàng Phụ Kiện, Smartwatch, đồng hồ thời trang (trừ Apple, Beats) trị giá 500.000đ3Tặng PMH 100.000đ mua balo,túi chống sốc.4Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời5Tặng Phiếu mua hàng 500.000đ mua Chuột Gaming Logitech dòng Pro X6Phiếu mua hàng máy lọc nước trị giá 300.000đ7Thu cũ đổi mới: Giảm ngay 1,500,000ĐXem chi tiết8NHẬN NGAY ĐẾN 1,2 TRIỆU khi mở thẻ tín dụng VPBANK MWG(Xem chi tiết tại đây)Xem thêm 2 khuyến mãiThu gọn(*)Giá hoặc khuyến mãi không áp dụng trả chậm lãi suất đặc biệt (0%, 0.5%, 1%, 1.5%, 2%)Ưu đãi thanh toán Online(Click chọn để áp dụng)Giảm 1.000.000Đ-Xem chi tiếtThanh toán trả chậm từ 20.000.000đƯu đãi khi thanh toán trả chậm (góp) bằng thẻ tín dụng TCBÁp dụng cho khách mua sắm trên websiteThế Giới Di Động;Điện Máy Xanh; TopzoneChi tiết ưu đãi:Áp dụng cho sản phẩm thanh toán cuối cùng từ20 triệu đồngChỉ áp dụng khi thanh toán bằng thẻ có đầu số:403280, 422075, 422076, 457353, 483931, 510164Mỗi chủ thẻ được hưởng ưu đãi1 lầntrong suốt thời gian chương trình.Ưu đãi không quy đổi ra tiền mặt, sản phẩm hay chuyển nhượng.Chương trình không áp dụng đối với giao dịch hủy, hay hoàn tiền kể cả hoàn tiền một phần. Giao dịch phải thỏa điều kiện giao dịch thành công, không thuộc trường hợp gian lận giả mạo.Chương trình chỉ áp dụng cho giao dịch thanh toán trả chậm (góp)Khách hàng đã được hưởng ưu đãi thanh toán 1.000.000đ cần duy trì khoản trả chậm (góp) đã đăng ký. Trường hợp Khách hàng thực hiện tất toán, Ngân hàng sẽ tiến hành truy thu số tiền ưu đãi trị giá 1.000.000đ mà Khách hàng đã được hưởng tại thời điểm mua hàng. Việc truy thu sẽ được Ngân hàng thực hiện trong vòng 60 ngày kể từ ngày khách hàng tất toán trả chậm (góp)Lưu ý: Ưu đãi có thể có điều khoản áp dụng riêng từng loại thẻ. Vui lòng kiểm tra điều kiện thanh toán trước khi hoàn tất đơn hàng.Đã hiểuGiảm 1.000.0000Đ-Xem chi tiếtThanh toán trả thẳng từ 10.000.000đGIẢM 1 TRIỆU KHI THANH TOÁN TỪ 10 TRIỆUÁp dụng cho khách mua sắm trên websiteThế Giới Di Động;Điện Máy Xanh; Topzone1/Chi tiết ưu đãi:- Áp dụng cho sản phẩm thanh toán cuối cùng từ10 triệu đồngtrở lên (sau khi áp dụng các khuyến mãi khác)- Chỉ áp dụngCHO KHÁCH HÀNG CHỦ THẺ TÍN DỤNG JCB Nam Á Bank đầu BIN 356519- Ưu đãi giảm giá 1.000.000Đ- Thời gian: 01/06/2026 đến 30/06/2026;- Số lượng: 40 suất/ tháng2/Điều kiện tham gia chương trình:- Mỗi thẻ được hưởng ưu đãi1 lần/thángtrong suốt thời gian chạy chương trình- Giao dịch thực hiện không bị hủy/ hoàn lại trong thời gian diễn ra chương trình.- Chủ thẻ chỉ tiến hành thanh toán khi hệ thống đã hiển thị số tiền ưu đãi. Nam Á và thương hiệu hợp tác không chịu trách nhiệm về việc hệ thống không hiển thị số tiền ưu đãi mà chủ thẻ vẫn tiến hành thanh toán.- Ưu đãi không được phép chuyển đổi thành tiền mặt/ hàng hóa/ dịch vụ cũng như không được chuyển nhượng cho người khác.*Lưu ý: Ưu đãi có thể kết thúc trước hạn nếu hết suất.Đã hiểuGiảm 500K-Xem chi tiếtMở mới thẻ VPBANK MWG và thanh toán trả chậm từ 8 triệuGIẢM 500K KHÁCH HÀNG MỞ MỚI THẺ VPBANK MWG VÀ THANH TOÁN TRẢ CHẬM (GÓP) TỪ 8 TRIỆUÁp dụng cho khách mua sắm trên websiteThế Giới Di Động;Điện Máy Xanh; TopzoneChi tiết ưu đãi:- Áp dụng cho sản phẩm thanh toán cuối cùng từ8 triệu đồng(đã trừ hết khuyến mãi)- Chỉ áp dụngCHO KHÁCH HÀNG MỞ MỚI THẺ VPBANK MWG đầu Bin52397539và mua sắm trong30 ngày(kể từ lúc mở thẻ)- Ưu đãi giảm 500K được áp dụng chung cùng các ưu đãi mở mới thẻ khác (quà tặng chào mừng 400K và Hoàn tiền theo tính năng thẻ 300K) => Tổng ưu đãi lên đến1,2 triệu- Thời gian: 01/05 /2026 đến 30/06/2026;Số lượng: 1000 suất/ tháng- Mỗi chủ thẻ được hưởng ưu đãi1 lầntrong suốt thời gian chương trình.- Ưu đãikhông quy đổi ra tiền mặt, sản phẩmhay chuyển nhượng, không áp dụng giao dịch hoàn huỷ- Chương trình chỉ áp dụng cho giao dịchthanh toán trả chậm (góp) qua thẻ VPBANK MWG,áp dụng đồng thời chương trìnhtrả chậm 0%(nếu có)- KHÁCH HÀNG XEM ƯU ĐÃI VÀ HƯỚNG DẪN MỞ THẺTẠI ĐÂYĐã hiểuGiảm 1.000.0000Đ-Xem chi tiếtThanh toán trả chậm từ 10.000.000đGIẢM 1 TRIỆU KHI THANH TOÁN TRẢ CHẬM (GÓP) TỪ 10 TRIỆUÁp dụng cho khách mua sắm trên websiteThế Giới Di Động;Điện Máy Xanh; Topzone1/Chi tiết ưu đãi:- Áp dụng cho sản phẩm thanh toán cuối cùng từ10 triệu đồngtrở lên (sau khi áp dụng các khuyến mãi khác)- Chỉ áp dụngCHO KHÁCH HÀNG CHỦ THẺ TÍN DỤNG JCB Nam Á Bank đầu BIN 356519- Ưu đãi giảm giá 1.000.000Đ- Thời gian: 01/06/2026 đến 30/06/2026;- Số lượng: 45 suất/ tháng2/Điều kiện tham gia chương trình:- Mỗi thẻ được hưởng ưu đãi1 lần/thángtrong suốt thời gian chạy chương trình- Giao dịch thực hiện không bị hủy/ hoàn lại trong thời gian diễn ra chương trình.- Chủ thẻ chỉ tiến hành thanh toán khi hệ thống đã hiển thị số tiền ưu đãi. Nam Á và thương hiệu hợp tác không chịu trách nhiệm về việc hệ thống không hiển thị số tiền ưu đãi mà chủ thẻ vẫn tiến hành thanh toán.- Ưu đãi không được phép chuyển đổi thành tiền mặt/ hàng hóa/ dịch vụ cũng như không được chuyển nhượng cho người khác.*Lưu ý: Ưu đãi có thể kết thúc trước hạn nếu hết suất.Đã hiểuXem thêm 2 ưu đãi thanh toánĐơn hàng không đủ điều kiện áp dụng ưu đãi thanh toán. Bạn cần tối thiểu150ĐóngChọn địa chỉ nhận hàng để biết thời gian giao.+48.180điểm tích lũy Quà Tặng VIP?Đây là điểm tích lũy tạm tính khi mua sản phẩm này. Số điểm thực tế có thể thay đổi và sẽ được hiển thị chính xác sau khi Quý khách hoàn tất đặt hàng.Tảiapp Quà Tặng VIPđể tích và sử dụng điểm cho khách hàng thân thiết.Tìm hiểu thêmĐang chọn KM:Giảm ngay 700,000đGiảm 400,000ĐThêm vào giỏMua ngayMua trả chậm 0%Qua thẻ tín dụng, nhà tài chính, mua trước trả sau×Đã hiểuĐồng ýChọn hình thức trả chậmQua thẻ tín dụng (0%)Visa, Mastercard, JCB, AmexQua công ty tài chính (0%)Duyệt hồ sơ trong 5 phútMua trước trả sau (0%)MớiMWG Paylater, Kredivo, Home PaylaterGọi đặt mua1900 232 460(8:00 - 21:30)Xem siêu thị có hàng
Class: ['showpromo-radio', 'new', 'active-promo', 'init-choose-priceline'] | Text: Đang chọn KM:Giảm ngay 700,000đGiảm 400,000Đ
Class: ['area_price'] | Text: Tổng tiền:25.285.000₫27.865.000₫
Class: ['viewed-product-price'] | Text: 22.990.000₫
Class: ['price'] | Text: 490.000₫
Class: ['price-old', 'black'] | Text: 890.000₫
Class: ['price'] | Text: 400.000₫
